id,country_id,community_id,slug,name
15,6,12,a-coruna,A Coruña
1,6,16,alava,Álava
2,6,8,albacete,Albacete
3,6,10,alicante,Alicante
4,6,1,almeria,Almería
33,6,3,asturias,Asturias
5,6,7,avila,Ávila
6,6,11,badajoz,Badajoz
8,6,9,barcelona,Barcelona
9,6,7,burgos,Burgos
10,6,11,caceres,Cáceres
11,6,1,cadiz,Cádiz
39,6,6,cantabria,Cantabria
12,6,10,castellon,Castellón
13,6,8,ciudad-real,Ciudad Real
14,6,1,cordoba,Córdoba
16,6,8,cuenca,Cuenca
17,6,9,girona,Girona
18,6,1,granada,Granada
19,6,8,guadalajara,Guadalajara
20,6,16,guipuzcoa,Guipúzcoa
21,6,1,huelva,Huelva
22,6,2,huesca,Huesca
7,6,4,islas-baleares,Islas Baleares
23,6,1,jaen,Jaén
26,6,17,la-rioja,La Rioja
35,6,5,las-palmas,Las Palmas
24,6,7,leon,León
25,6,9,lleida,Lleida
27,6,12,lugo,Lugo
28,6,13,madrid,Madrid
29,6,1,malaga,Málaga
30,6,14,murcia,Murcia
31,6,15,navarra,Navarra
32,6,12,ourense,Ourense
34,6,7,palencia,Palencia
36,6,12,pontevedra,Pontevedra
37,6,7,salamanca,Salamanca
38,6,5,santa-cruz-de-tenerife,Santa Cruz de Tenerife
40,6,7,segovia,Segovia
41,6,1,sevilla,Sevilla
42,6,7,soria,Soria
43,6,9,tarragona,Tarragona
44,6,2,teruel,Teruel
45,6,8,toledo,Toledo
46,6,10,valencia,Valencia
47,6,7,valladolid,Valladolid
48,6,16,vizcaya,Vizcaya
49,6,7,zamora,Zamora
50,6,2,zaragoza,Zaragoza
